dataset_version,label,family,split,source,file_title,source_url,image_url,original_url,sha1,mime,width,height,license,license_url,artist,credit,query,review_status
wikimedia-pilot-v0.1,analog_mechanical,analog_clock,train,Wikimedia Commons,File:24 hour clock face in Santa Maria dei Servi.jpg,https://commons.wikimedia.org/wiki/File:24_hour_clock_face_in_Santa_Maria_dei_Servi.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/24_hour_clock_face_in_Santa_Maria_dei_Servi.jpg/960px-24_hour_clock_face_in_Santa_Maria_dei_Servi.jpg,https://upload.wikimedia.org/wikipedia/commons/2/26/24_hour_clock_face_in_Santa_Maria_dei_Servi.jpg,6fa74c6eba7ce37542ac83f5d6bc8d71907b639d,image/jpeg,2736,3648,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,Andrewrabbott,Own work,analog clock dial -digital,weak-label-needs-review
wikimedia-pilot-v0.1,analog_mechanical,analog_clock,train,Wikimedia Commons,"File:Astronomical Clock, Prague.jpg","https://commons.wikimedia.org/wiki/File:Astronomical_Clock,_Prague.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Astronomical_Clock%2C_Prague.jpg/960px-Astronomical_Clock%2C_Prague.jpg,https://upload.wikimedia.org/wikipedia/commons/a/ad/Astronomical_Clock%2C_Prague.jpg,16d0745bec4c27a4c15b9bce4d9c84049d8ac9bf,image/jpeg,1861,1534,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,Jay8085,"originally posted to Flickr as Astronomical Clock, Prague",analog clock dial -digital,weak-label-needs-review
wikimedia-pilot-v0.1,analog_mechanical,analog_clock,train,Wikimedia Commons,File:Detailed view of left half of Casio Edifice chronograph wristwatch.jpeg,https://commons.wikimedia.org/wiki/File:Detailed_view_of_left_half_of_Casio_Edifice_chronograph_wristwatch.jpeg,https://upload.wikimedia.org/wikipedia/commons/f/f1/Detailed_view_of_left_half_of_Casio_Edifice_chronograph_wristwatch.jpeg,https://upload.wikimedia.org/wikipedia/commons/f/f1/Detailed_view_of_left_half_of_Casio_Edifice_chronograph_wristwatch.jpeg,46ad26f8114fdbf9d9c966a3a046e04619bcf7ef,image/jpeg,886,1752,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,Hamid Kashfi,Imported from 500px ( archived version ) by the Archive Team . ( detail page ),analog clock dial -digital,weak-label-needs-review
wikimedia-pilot-v0.1,analog_mechanical,analog_clock,train,Wikimedia Commons,File:Detailed view of right upper quadrant of Casio Edifice chronograph wristwatch.jpeg,https://commons.wikimedia.org/wiki/File:Detailed_view_of_right_upper_quadrant_of_Casio_Edifice_chronograph_wristwatch.jpeg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Detailed_view_of_right_upper_quadrant_of_Casio_Edifice_chronograph_wristwatch.jpeg/960px-Detailed_view_of_right_upper_quadrant_of_Casio_Edifice_chronograph_wristwatch.jpeg,https://upload.wikimedia.org/wikipedia/commons/2/2c/Detailed_view_of_right_upper_quadrant_of_Casio_Edifice_chronograph_wristwatch.jpeg,236050337a0c2866134234d5ad83fcdce39e69c7,image/jpeg,1141,1098,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,Hamid Kashfi,Imported from 500px ( archived version ) by the Archive Team . ( detail page ),analog clock dial -digital,weak-label-needs-review
wikimedia-pilot-v0.1,analog_mechanical,analog_clock,train,Wikimedia Commons,File:Glowing clockface indices of Citizen Diver's watch with depth gauge and Eco-Drive (cropped).jpg,https://commons.wikimedia.org/wiki/File:Glowing_clockface_indices_of_Citizen_Diver%27s_watch_with_depth_gauge_and_Eco-Drive_(cropped).jpg,https://upload.wikimedia.org/wikipedia/commons/6/6e/Glowing_clockface_indices_of_Citizen_Diver%27s_watch_with_depth_gauge_and_Eco-Drive_%28cropped%29.jpg,https://upload.wikimedia.org/wikipedia/commons/6/6e/Glowing_clockface_indices_of_Citizen_Diver%27s_watch_with_depth_gauge_and_Eco-Drive_%28cropped%29.jpg,f43abcfb665bffedcb23fb167715cb886a608274,image/jpeg,626,605,CC BY-SA 3.0 gr,https://creativecommons.org/licenses/by-sa/3.0/gr/deed.en,Naklig /,Own work ( Original text: έργο αυτού που το ανεβάζει ),analog clock dial -digital,weak-label-needs-review
wikimedia-pilot-v0.1,analog_mechanical,analog_clock,train,Wikimedia Commons,File:Hexadecimal Clock by Nystrom.jpg,https://commons.wikimedia.org/wiki/File:Hexadecimal_Clock_by_Nystrom.jpg,https://upload.wikimedia.org/wikipedia/commons/e/e6/Hexadecimal_Clock_by_Nystrom.jpg,https://upload.wikimedia.org/wikipedia/commons/e/e6/Hexadecimal_Clock_by_Nystrom.jpg,52a64def68d288a9657d239090a8d00e7607f25c,image/jpeg,525,537,Public domain,,John W. Nystrom,"Nystrom, John W.: ""Project of a New System of Arithmetic, Weight, Measure and Coins, Proposed to be Called the Tonal System, with Sixteen to the Base."" Philadelphia: J. B. Lippincott, 1862",analog clock dial -digital,weak-label-needs-review
wikimedia-pilot-v0.1,analog_mechanical,analog_clock,train,Wikimedia Commons,File:Lier Zimmertoren klok.JPG,https://commons.wikimedia.org/wiki/File:Lier_Zimmertoren_klok.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Lier_Zimmertoren_klok.JPG/960px-Lier_Zimmertoren_klok.JPG,https://upload.wikimedia.org/wikipedia/commons/c/cc/Lier_Zimmertoren_klok.JPG,8f48aa5cdbcf6bbca22581e89ef1794d386fdf4d,image/jpeg,3648,2736,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,Ad Meskens,Own work,analog clock dial -digital,weak-label-needs-review
wikimedia-pilot-v0.1,analog_mechanical,analog_clock,train,Wikimedia Commons,File:Longcase clock with tidal dial.jpg,https://commons.wikimedia.org/wiki/File:Longcase_clock_with_tidal_dial.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Longcase_clock_with_tidal_dial.jpg/960px-Longcase_clock_with_tidal_dial.jpg,https://upload.wikimedia.org/wikipedia/commons/3/30/Longcase_clock_with_tidal_dial.jpg,1d267a81b22c66ade9f6ab7ddf6640ebf55e23e0,image/jpeg,3550,5326,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,andrewrabbott,Own work,analog clock dial -digital,weak-label-needs-review
wikimedia-pilot-v0.1,analog_mechanical,mechanical_typewriter,train,Wikimedia Commons,File:Bikepunk typewriter.jpg,https://commons.wikimedia.org/wiki/File:Bikepunk_typewriter.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Bikepunk_typewriter.jpg/960px-Bikepunk_typewriter.jpg,https://upload.wikimedia.org/wikipedia/commons/0/0a/Bikepunk_typewriter.jpg,a23d07f9772b1fd5172befe3315d4e0e2b9e8f02,image/jpeg,4096,3072,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,Lioploum,Own work,mechanical typewriter,weak-label-needs-review
wikimedia-pilot-v0.1,analog_mechanical,mechanical_typewriter,train,Wikimedia Commons,File:Chimpanzee seated at typewriter.jpg,https://commons.wikimedia.org/wiki/File:Chimpanzee_seated_at_typewriter.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Chimpanzee_seated_at_typewriter.jpg/960px-Chimpanzee_seated_at_typewriter.jpg,https://upload.wikimedia.org/wikipedia/commons/3/3c/Chimpanzee_seated_at_typewriter.jpg,dcc56bc62a37fce38ba09a15c61972f0e327f8e8,image/jpeg,1028,818,Public domain,,New York Zoological Society,This file was derived from: Chimpanzee seated at a typewriter.tif :,mechanical typewriter,weak-label-needs-review
